Time,"User full name","Affected user","Event context",Component,"Event name",Description,Origin,"IP address"
"30/10/23, 14:43:51","Admin Lms",-,"Course: 자바 기초",System,"Course viewed","The user with id '2' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:43:18","Admin Lms","Learn Second","Course: 자바 기초",System,"Role assigned","The user with id '2' assigned the role with id '5' to the user with id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:43:18","Admin Lms","Learn Second","Course: 자바 기초",System,"User enrolled in course","The user with id '2' enrolled the user with id '4' using the enrolment method 'manual' in the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:43:18","Admin Lms","Rick Gentle","Course: 자바 기초",System,"Role assigned","The user with id '2' assigned the role with id '5' to the user with id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:43:18","Admin Lms","Rick Gentle","Course: 자바 기초",System,"User enrolled in course","The user with id '2' enrolled the user with id '5' using the enrolment method 'manual' in the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:43:17","Admin Lms","Learner First","Course: 자바 기초",System,"Role assigned","The user with id '2' assigned the role with id '5' to the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:43:17","Admin Lms","Learner First","Course: 자바 기초",System,"User enrolled in course","The user with id '2' enrolled the user with id '3' using the enrolment method 'manual' in the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:43:03","Admin Lms",-,"Course: 자바 기초",System,"User list viewed","The user with id '2' viewed the list of users in the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:43:01","Admin Lms",-,"Course: 자바 기초",System,"Course viewed","The user with id '2' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:42:59","Admin Lms",-,System,System,"My courses viewed","The user with id '2' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 14:42:27","Admin Lms","Rick Gentle","User: Rick Gentle",System,"User created","The user with id '2' created the user with id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:39:19","Admin Lms",-,"Course: 자바 기초",System,"User list viewed","The user with id '2' viewed the list of users in the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:39:16","Admin Lms",-,"Course: 자바 기초",System,"Course viewed","The user with id '2' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:39:09","Admin Lms",-,"Course: 자바 기초",System,"Course viewed","The user with id '2' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:39:07","Admin Lms",-,System,System,"My courses viewed","The user with id '2' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 14:39:03","Admin Lms",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '2' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:38:56","Admin Lms",-,"URL: 학습분석 위키페이지",URL,"Course module viewed","The user with id '2' viewed the 'url' activity with course module id '7'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:38:56","Admin Lms",-,"URL: 학습분석 위키페이지",System,"Course module created","The user with id '2' created the 'url' activity with course module id '7'.",web,0:0:0:0:0:0:0:1
